Name,Assest Type,Column Title,Description,Description from source system,Source Column Name,size,Technical Data Type,Column Position,Is Primary Key,Is nullable,Contains PII,Primary Key
WEALTH_DB.PUBLIC.DIM_CLIENT,Dimension Table,CLIENT_ID,Unique surrogate identifier for a client or household.,Documented in the source warehouse as column CLNT_SK.,CLNT_SK,10,NUMBER(10),1,Y,N,N,PK_DIM_CLIENT
WEALTH_DB.PUBLIC.DIM_CLIENT,Dimension Table,CLIENT_NAME,Legal name of the client or household.,Documented in the source warehouse as column CLNT_NM.,CLNT_NM,200,VARCHAR2(200),2,N,N,Y,
WEALTH_DB.PUBLIC.DIM_CLIENT,Dimension Table,CLIENT_TYPE,"Classification of the client, e.g. Individual or Institutional.",Documented in the source warehouse as column CLNT_TYP_CD.,CLNT_TYP_CD,20,VARCHAR2(20),3,N,N,N,
WEALTH_DB.PUBLIC.DIM_CLIENT,Dimension Table,TAX_ID,Government tax identifier (e.g. SSN/EIN) associated with the client.,Documented in the source warehouse as column TAX_ID_NBR.,TAX_ID_NBR,20,VARCHAR2(20),4,N,Y,Y,
WEALTH_DB.PUBLIC.DIM_CLIENT,Dimension Table,ONBOARDING_DATE,Date the client relationship was established.,Documented in the source warehouse as column ONBRD_DT.,ONBRD_DT,,DATE,5,N,N,N,
WEALTH_DB.PUBLIC.DIM_CLIENT,Dimension Table,RISK_PROFILE,Client's stated investment risk tolerance.,Documented in the source warehouse as column RISK_PRFL_CD.,RISK_PRFL_CD,20,VARCHAR2(20),6,N,Y,N,
WEALTH_DB.PUBLIC.DIM_CLIENT,Dimension Table,COUNTRY_CODE,ISO country code of the client's residence.,Documented in the source warehouse as column CNTRY_CD.,CNTRY_CD,3,VARCHAR2(3),7,N,N,N,
WEALTH_DB.PUBLIC.DIM_ACCOUNT,Dimension Table,ACCOUNT_ID,Unique surrogate identifier for an investment account.,Documented in the source warehouse as column ACCT_SK.,ACCT_SK,10,NUMBER(10),1,Y,N,N,PK_DIM_ACCOUNT
WEALTH_DB.PUBLIC.DIM_ACCOUNT,Dimension Table,ACCOUNT_NUMBER,Business/customer-facing account number.,Documented in the source warehouse as column ACCT_NBR.,ACCT_NBR,30,VARCHAR2(30),2,N,N,Y,
WEALTH_DB.PUBLIC.DIM_ACCOUNT,Dimension Table,CLIENT_ID,Foreign key to the owning client (DIM_CLIENT).,Documented in the source warehouse as column CLNT_SK.,CLNT_SK,10,NUMBER(10),3,N,N,N,
WEALTH_DB.PUBLIC.DIM_ACCOUNT,Dimension Table,ACCOUNT_TYPE,"Account wrapper type, e.g. Brokerage, IRA, 401k, Trust.",Documented in the source warehouse as column ACCT_TYP_CD.,ACCT_TYP_CD,30,VARCHAR2(30),4,N,N,N,
WEALTH_DB.PUBLIC.DIM_ACCOUNT,Dimension Table,ACCOUNT_STATUS,Current lifecycle status of the account.,Documented in the source warehouse as column ACCT_STS_CD.,ACCT_STS_CD,15,VARCHAR2(15),5,N,N,N,
WEALTH_DB.PUBLIC.DIM_ACCOUNT,Dimension Table,OPEN_DATE,Date the account was opened.,Documented in the source warehouse as column OPEN_DT.,OPEN_DT,,DATE,6,N,N,N,
WEALTH_DB.PUBLIC.DIM_ACCOUNT,Dimension Table,CLOSE_DATE,"Date the account was closed, if applicable.",Documented in the source warehouse as column CLOSE_DT.,CLOSE_DT,,DATE,7,N,Y,N,
WEALTH_DB.PUBLIC.DIM_ACCOUNT,Dimension Table,BASE_CURRENCY,ISO currency code the account is denominated in.,Documented in the source warehouse as column BASE_CCY_CD.,BASE_CCY_CD,3,VARCHAR2(3),8,N,N,N,
WEALTH_DB.PUBLIC.DIM_ACCOUNT,Dimension Table,CUSTODIAN_NAME,Name of the custodian holding the account's assets.,Documented in the source warehouse as column CUST_NM.,CUST_NM,100,VARCHAR2(100),9,N,Y,N,
WEALTH_DB.PUBLIC.DIM_ACCOUNT,Dimension Table,ADVISOR_NAME,Name of the financial advisor servicing the account.,Documented in the source warehouse as column ADVSR_NM.,ADVSR_NM,100,VARCHAR2(100),10,N,Y,Y,
WEALTH_DB.PUBLIC.DIM_SECURITY,Dimension Table,SECURITY_ID,Unique surrogate identifier for a security/instrument.,Documented in the source warehouse as column SEC_SK.,SEC_SK,10,NUMBER(10),1,Y,N,N,PK_DIM_SECURITY
WEALTH_DB.PUBLIC.DIM_SECURITY,Dimension Table,SECURITY_SYMBOL,Exchange ticker symbol for the security.,Documented in the source warehouse as column SEC_SYM.,SEC_SYM,15,VARCHAR2(15),2,N,N,N,
WEALTH_DB.PUBLIC.DIM_SECURITY,Dimension Table,CUSIP,CUSIP identifier for the security.,Documented in the source warehouse as column CUSIP_ID.,CUSIP_ID,9,VARCHAR2(9),3,N,Y,N,
WEALTH_DB.PUBLIC.DIM_SECURITY,Dimension Table,SECURITY_NAME,Full descriptive name of the security.,Documented in the source warehouse as column SEC_NM.,SEC_NM,200,VARCHAR2(200),4,N,N,N,
WEALTH_DB.PUBLIC.DIM_SECURITY,Dimension Table,SECURITY_TYPE,"Instrument type, e.g. Equity, Bond, ETF, Mutual Fund, Cash.",Documented in the source warehouse as column SEC_TYP_CD.,SEC_TYP_CD,30,VARCHAR2(30),5,N,N,N,
WEALTH_DB.PUBLIC.DIM_SECURITY,Dimension Table,ASSET_CLASS,Broad asset class grouping for the security.,Documented in the source warehouse as column AST_CLS_CD.,AST_CLS_CD,30,VARCHAR2(30),6,N,N,N,
WEALTH_DB.PUBLIC.DIM_SECURITY,Dimension Table,SECTOR,Industry sector classification of the issuer.,Documented in the source warehouse as column SECT_NM.,SECT_NM,50,VARCHAR2(50),7,N,Y,N,
WEALTH_DB.PUBLIC.DIM_SECURITY,Dimension Table,CURRENCY,ISO currency code the security is priced in.,Documented in the source warehouse as column CCY_CD.,CCY_CD,3,VARCHAR2(3),8,N,N,N,
WEALTH_DB.PUBLIC.DIM_SECURITY,Dimension Table,ISSUE_DATE,Date the security was issued.,Documented in the source warehouse as column ISS_DT.,ISS_DT,,DATE,9,N,Y,N,
WEALTH_DB.PUBLIC.DIM_DATE,Dimension Table,DATE_ID,"Surrogate key for the date, formatted YYYYMMDD.",Documented in the source warehouse as column DT_SK.,DT_SK,8,NUMBER(8),1,Y,N,N,PK_DIM_DATE
WEALTH_DB.PUBLIC.DIM_DATE,Dimension Table,CALENDAR_DATE,The calendar date value.,Documented in the source warehouse as column CAL_DT.,CAL_DT,,DATE,2,N,N,N,
WEALTH_DB.PUBLIC.DIM_DATE,Dimension Table,CALENDAR_YEAR,Four-digit calendar year.,Documented in the source warehouse as column CAL_YR.,CAL_YR,4,NUMBER(4),3,N,N,N,
WEALTH_DB.PUBLIC.DIM_DATE,Dimension Table,CALENDAR_QUARTER,Calendar quarter number (1-4).,Documented in the source warehouse as column CAL_QTR.,CAL_QTR,1,NUMBER(1),4,N,N,N,
WEALTH_DB.PUBLIC.DIM_DATE,Dimension Table,CALENDAR_MONTH,Calendar month number (1-12).,Documented in the source warehouse as column CAL_MNTH.,CAL_MNTH,2,NUMBER(2),5,N,N,N,
WEALTH_DB.PUBLIC.DIM_DATE,Dimension Table,MONTH_NAME,Full name of the calendar month.,Documented in the source warehouse as column MNTH_NM.,MNTH_NM,15,VARCHAR2(15),6,N,N,N,
